provinsi,jumlah_penduduk
Jawa Barat,49899992
Jawa Timur,41644099
Jawa Tengah,38125191
Sumatera Utara,15471582
Banten,12469997
DKI Jakarta,11337563
Sulawesi Selatan,9400283
Lampung,9051459
Sumatera Selatan,8889913
Riau,6861237
Sumatera Barat,5750326
Nusa Tenggara Barat,5619450
Nusa Tenggara Timur,5609049
Kalimantan Barat,5557277
Aceh,5515839
Bali,4344554
Kalimantan Selatan,4234214
Kalimantan Timur,4007736
Jambi,3760275
DI Yogyakarta,3722296
Sulawesi Tengah,3154499
Sulawesi Tenggara,2753707
Kalimantan Tengah,2753049
Sulawesi Utara,2660415
Kepulauan Riau,2178610
Bengkulu,2098089
Maluku,1911943
Kepulauan Bangka Belitung,1521723
Papua Pegunungan,1464466
Sulawesi Barat,1451657
Maluku Utara,1365091
Papua Tengah,1357071
Gorontalo,1237185
Papua,1085281
Kalimantan Utara,747415
Papua Barat Daya,613180
Papua Barat,565805
Papua Selatan,533910
