provinsi,total
11. ACEH,1282832
12. SUMATERA UTARA,3527273
13. SUMATERA BARAT,1337791
14. RIAU,1586498
15. JAMBI,903600
16. SUMATERA SELATAN,2104081
17. BENGKULU,518725
18. LAMPUNG,2323288
19. KEPULAUAN BANGKA BELITUNG,381045
21. KEPULAUAN RIAU,574814
31. DKI JAKARTA,2788989
32. JAWA BARAT,13113409
33. JAWA TENGAH,9921294
34. DI YOGYAKARTA,1127868
35. JAWA TIMUR,11347335
36. BANTEN,2995096
51. BALI,1166152
52. NUSA TENGGARA BARAT,1522733
53. NUSA TENGGARA TIMUR,1183251
61. KALIMANTAN BARAT,1287645
62. KALIMANTAN TENGAH,709515
63. KALIMANTAN SELATAN,1123986
64. KALIMANTAN TIMUR,959848
65. KALIMANTAN UTARA,164082
71. SULAWESI UTARA,679782
72. SULAWESI TENGAH,721987
73. SULAWESI SELATAN,2113231
74. SULAWESI TENGGARA,606508
75. GORONTALO,279749
76. SULAWESI BARAT,326421
81. MALUKU,387463
82. MALUKU UTARA,272329
91. PAPUA BARAT,261689
94. PAPUA,1028643
