provinsi,kontrak_sewa,bebas_sewa,lainnya,total_rt_no_house,total_rt_have_house,total_rt
Aceh,66278,160925,6027,233230,1049602,1282832
Sumatera Utara,386442,636862,38316,1061620,2465653,3527273
Sumatera Barat,107721,262905,5718,376344,961447,1337791
Riau,158448,192685,24599,375732,1210766,1586498
Jambi,38131,87321,5122,130574,773026,903600
Sumatera Selatan,91282,237397,8720,337399,1766682,2104081
Bengkulu,22993,41318,1681,65992,452733,518725
Lampung,57889,156836,2489,217214,2106074,2323288
Kepulauan Bangka Belitung,16954,27530,4346,48830,332215,381045
Kepulauan Riau,106645,33666,5613,145924,428890,574814
DKI Jakarta,716663,503980,61866,1282509,1506480,2788989
Jawa Barat,841096,1290365,172050,2303511,10809898,13113409
Jawa Tengah,171019,809241,73584,1053844,8867450,9921294
DI Yogyakarta,117320,125037,8114,250471,877397,1127868
Jawa Timur,335370,754043,98537,1187950,10159385,11347335
Banten,232296,191966,9812,434074,2561022,2995096
Bali,111221,67146,2472,180839,985313,1166152
Nusa Tenggara Barat,32129,135527,1687,169343,1353390,1522733
Nusa Tenggara Timur,42456,72676,6324,121456,1061795,1183251
Kalimantan Barat,27542,108880,9048,145470,1142175,1287645
Kalimantan Tengah,33898,101933,20313,156144,553371,709515
Kalimantan Selatan,68142,129797,11594,209533,914453,1123986
Kalimantan Timur,128674,137547,9029,275250,684598,959848
Kalimantan Utara,20056,19089,1860,41005,123077,164082
Sulawesi Utara,25128,120989,8054,154171,525611,679782
Sulawesi Tengah,29401,69864,4154,103419,618568,721987
Sulawesi Selatan,82962,204744,8345,296051,1817180,2113231
Sulawesi Tenggara,18875,51525,2467,72867,533641,606508
Gorontalo,6125,54544,364,61033,218716,279749
Sulawesi Barat,4230,24012,1013,29255,297166,326421
Maluku,19538,46303,3414,69255,318208,387463
Maluku Utara,10636,24508,1779,36923,235406,272329
Papua Barat,21844,29922,3582,55348,206341,261689
Papua,73262,77305,7926,158493,870150,1028643
