provinsi,cluster
Sumatera Utara,1
Sumatera Barat,1
Jambi,1
Lampung,1
Banten,1
Bali,1
Kalimantan Barat,1
Sulawesi Tengah,1
Sulawesi Tenggara,1
Gorontalo,1
Sulawesi Barat,1
Maluku,1
DKI Jakarta,2
Aceh,3
Riau,3
Sumatera Selatan,3
Kepulauan Bangka Belitung,3
Kepulauan Riau,3
Kalimantan Tengah,3
Kalimantan Selatan,3
Kalimantan Timur,3
Kalimantan Utara,3
Sulawesi Utara,3
Sulawesi Selatan,3
Maluku Utara,3
Papua Barat,3
Papua Barat Daya,3
Papua,4
Papua Tengah,4
Papua Pegunungan,4
Papua Selatan,4
Bengkulu,5
Jawa Barat,5
Jawa Tengah,5
DI Yogyakarta,5
Jawa Timur,5
Nusa Tenggara Barat,5
Nusa Tenggara Timur,5
